year,indicator,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden
2018,Using latest official data,0.00257819251964754,0.004302415719348464,0.0011044468091967368,0.0013396624132229382,0.0011967511557025912,0.001318119135160867,0.007184806571350075,0.0016171832687200737,0.003589620437401817,0.004274898167899276,0.00611911817593526,0.001332274816129883,0.0020909619063197112,0.0031434108657544015,0.00248624023201683,0.001017961610248466,0.0012142763889081126,0.009838159614038873,0.002475796514036405,0.0061929543963478995,0.0013598082578760518,0.0017743048673473914,0.0010640608963393774,0.0013139772107852593,0.0015604982233005501,0.002027472160084819,0.010718662508451094
2018,Excluding Ukraine,0.002519878545428406,0.0042723381372406204,0.0010862274676727614,0.0013192847367637225,0.0011780818376736309,0.0012872122285334377,0.007113486677854449,0.001503091586103235,0.00355113416137073,0.004248821513454786,0.006044588657941597,0.0013114952922451963,0.002031595436809897,0.003126453102025847,0.0024617926669799357,0.000991048621714878,0.0011531136687644046,0.009799294144885897,0.002460759790598589,0.006170366791405548,0.0012245978315244003,0.001757227242296482,0.0010438333903523777,0.001289174388453027,0.0015221911779435137,0.0019932822859947473,0.010631034766815541
2018,Excluding IDRC,0.0024419059442591217,0.0038473433910459973,0.001030279578214182,0.0013396624132229382,0.0011967511557025912,0.0012102471244598255,0.0069984760678066605,0.0015279662262086503,0.0033818310267164434,0.003992517905816746,0.005170620363559501,0.0012042032252114615,0.0020641772816335775,0.002953746353576103,0.001947411682680245,0.00098365494354631,0.0011914572700777383,0.009838159614038873,0.0012796251645581418,0.005564572479783054,0.001348713795952751,0.0017331633160883823,0.0010620937393089292,0.0013064409686150812,0.0015147166325079943,0.0018341878370077092,0.009781388610708416
2018,Excluding Ukraine and IDRC,0.0023835919700399876,0.0038172658089381532,0.0010120602366902069,0.0013192847367637225,0.0011780818376736309,0.001179340217832396,0.006927156174311035,0.0014138745435918116,0.0033433447506853566,0.003966441251372257,0.005096090845565837,0.001183423701326775,0.0020048108121237633,0.002936788589847548,0.0019229641176433502,0.0009567419550127217,0.0011302945499340302,0.009799294144885897,0.0012645884411203257,0.005541984874840702,0.0012135033696010998,0.001716085691037473,0.0010418662333219295,0.001281638146282849,0.0014764095871509576,0.0017999979629176376,0.009693760869072865
2019,Using latest official data,0.0027581939360101166,0.004091814001098894,0.0009538187758912421,0.0011920859784154026,0.0009424923897397172,0.0013132609969468804,0.0071687186839308375,0.0015764788958600607,0.004168765298259328,0.004410622075757718,0.006115100893124869,0.0017515538050284463,0.0021258535840994928,0.0031566450913941826,0.0021856411719061407,0.0010220049321553507,0.001281643352007788,0.010340086830680174,0.003036949927723406,0.005868161050282843,0.0013865175982892715,0.0017190391405868045,0.0010307919434778025,0.001114514244785913,0.0016537892016273254,0.002088951923248748,0.009561975183363778
2019,Excluding Ukraine,0.002703585338145409,0.004056024717561964,0.000931938852908571,0.0011859650817735248,0.0009354130778488331,0.0012801746348310454,0.007074477288006057,0.001463339144208318,0.004113465388044263,0.004380603568341982,0.006041015216476738,0.0017265955683983568,0.00205105427514156,0.00313627963919164,0.0021612843180750046,0.0009889890568732657,0.0012119455902907987,0.010292066833311407,0.003024360766842817,0.005846626717781617,0.0012209339446561367,0.0016983086517669038,0.001006416340171481,0.0010813974701287172,0.0015995048056769415,0.0020525948629368635,0.009470235889756337
2019,Excluding IDRC,0.0026892772127089888,0.0038323887371011812,0.000891096330007585,0.0011221092411312346,0.0009424923897397172,0.0012873100762116107,0.007017180091377378,0.0015556715852114644,0.0038384773678481455,0.003973701273620869,0.00534793911203616,0.0011112607229324708,0.0021185643982538655,0.002885829977789983,0.0019652453360700078,0.0009904762584625488,0.0012579688405550064,0.010334824365215104,0.0013640726083556484,0.005320632350018641,0.001376108360628271,0.001686875473084413,0.0010292507239675858,0.001106138781427843,0.0016115680047770267,0.0018761676680601389,0.009079599910869235
2019,Excluding Ukraine and IDRC,0.002634668614844281,0.003796599453564252,0.0008692164070249139,0.001115988344489357,0.0009354130778488331,0.0012542237140957756,0.006922938695452598,0.0014425318335597214,0.00378317745763308,0.003943682766205132,0.005273853435388029,0.0010863024863023813,0.002043765089295933,0.00286546452558744,0.0019408884822388717,0.0009574603831804639,0.0011882710788380171,0.010286804367846337,0.0013514834474750589,0.005299098017517415,0.0012105247069951364,0.0016661449842645122,0.0010048751206612645,0.0010730220067706475,0.0015572836088266428,0.001839810607748254,0.008987860617261796
2020,Using latest official data,0.0029641077936609457,0.0047831055579952726,0.0012890225563909775,0.0013104011710040337,0.0005735277681416347,0.001263425639625596,0.007196068397849326,0.0016574543453154924,0.0046764266344663,0.0052985988950282874,0.007341879910940078,0.0017313976824353912,0.002708228788689782,0.0030549129407490268,0.0022341054408075278,0.0012252739446491094,0.0013291974781052458,0.010304473336030528,0.004015294210532252,0.005923488627448761,0.0014363201216939438,0.0018402588972768008,0.0012626249723421406,0.001376974854508271,0.0017432283944295852,0.0023261445552623804,0.011389104945214302
2020,Excluding Ukraine,0.002858658323324557,0.0046803646514380045,0.0012215037593984962,0.0012479362755944375,0.0005572849048496936,0.0011935262803429738,0.0070809167568705944,0.001481185918044808,0.0045794347866841565,0.005216681754083182,0.00722854165955644,0.0016504818083092308,0.0025103028118385663,0.0029994612870294815,0.002159783906022662,0.0011441319724406873,0.0012132941156711866,0.010206289933991594,0.004003263366455751,0.00587164784986451,0.00125826319252887,0.0017686519322673861,0.0011917865160286007,0.0013002270350679023,0.0016779029613748005,0.0022458948108934436,0.011266219390755665
