year,oda_gni_ratio,indicator,oda,additional_oda,name_short
2024,0.004270250310921747,Full,2172.125700905722,219.9524876006701,Austria
2025,0.004725208592434789,Full,2428.9129465906594,476.7397332856074,Austria
2026,0.005180166873947832,Full,2708.6837741315726,756.5105608265205,Austria
2027,0.005635125155460874,Full,2993.990505276478,1041.817291971426,Austria
2028,0.006090083436973916,Full,3270.1317654617883,1317.9585521567362,Austria
2029,0.006545041718486958,Full,3546.607695759849,1594.4344824547968,Austria
2030,0.007,Full,3890.926971935936,1938.7537586308838,Austria
2031,0.007,Full,3935.218162001796,1983.0449486967439,Austria
2032,0.007,Full,3979.5093520676555,2027.3361387626035,Austria
2033,0.007,Full,4023.8005421335156,2071.6273288284638,Austria
2034,0.007,Full,4068.0917321993747,2115.918518894323,Austria
2024,0.004760607544799242,Full,3126.0511158635177,277.6135397340677,Belgium
2025,0.005133839620666035,Full,3410.619202485549,562.1816263560991,Belgium
2026,0.0055070716965328285,Full,3705.156516090295,856.7189399608451,Belgium
2027,0.005880303772399622,Full,4005.805862628874,1157.368286499424,Belgium
2028,0.006253535848266415,Full,4313.41495514122,1464.9773790117702,Belgium
2029,0.006626767924133207,Full,4631.258673581599,1782.8210974521494,Belgium
2030,0.007,Full,5012.236263168084,2163.7986870386344,Belgium
2031,0.007,Full,5073.070123825104,2224.632547695654,Belgium
2032,0.007,Full,5133.9039844821245,2285.4664083526745,Belgium
2033,0.007,Full,5194.737845139144,2346.300269009694,Belgium
2034,0.007,Full,5255.571705796163,2407.134129666713,Belgium
2024,0.007419377688323991,Full,3078.477469903429,58.6691350468368,Denmark
2025,0.007419377688323991,Full,3129.1920388622575,109.3837040056651,Denmark
2026,0.007419377688323991,Full,3174.2528149000123,154.44448004341984,Denmark
2027,0.007419377688323991,Full,3219.961663339155,200.15332848256276,Denmark
2028,0.007419377688323991,Full,3266.490474350664,246.68213949407163,Denmark
2029,0.007419377688323991,Full,3313.6917475851196,293.8834127285272,Denmark
2030,0.007419377688323991,Full,3405.9375369762906,386.1292021196982,Denmark
2031,0.007419377688323991,Full,3452.4171812046598,432.60884634806735,Denmark
2032,0.007419377688323991,Full,3498.896825433029,479.08849057643647,Denmark
2033,0.007419377688323991,Full,3545.376469661398,525.5681348048056,Denmark
2034,0.007419377688323991,Full,3591.856113889767,572.0477790331747,Denmark
2024,0.005275043954538425,Full,16407.287718278352,1062.6962193225208,France
2025,0.00556253662878202,Full,17484.17150798027,2139.5800090244393,France
2026,0.005850029303025616,Full,18635.76843868715,3291.17693973132,France
2027,0.0061375219772692126,Full,19829.113840074377,4484.522341118545,France
2028,0.006425014651512809,Full,21056.97655676631,5712.3850578104775,France
2029,0.006712507325756404,Full,22295.817890284972,6951.226391329141,France
2030,0.007,Full,23880.944021043804,8536.352522087973,France
2031,0.007,Full,24198.15603311359,8853.56453415776,France
2032,0.007,Full,24515.368045183375,9170.776546227544,France
2033,0.007,Full,24832.580057253163,9487.988558297331,France
2034,0.007,Full,25149.79206932295,9805.200570367118,France
2024,0.007914738588092508,Full,36883.06921617787,2.5909885768196546,Germany
2025,0.007914738588092508,Full,37172.92331228081,292.4450846797554,Germany
2026,0.007914738588092508,Full,37691.35564471929,810.8774171182376,Germany
2027,0.007914738588092508,Full,38124.0201348198,1243.5419072187506,Germany
2028,0.007914738588092508,Full,38447.26126089089,1566.7830332898375,Germany
2029,0.007914738588092508,Full,38733.19827190132,1852.7200443002657,Germany
2030,0.007914738588092508,Full,39505.258463832026,2624.780236230974,Germany
2031,0.007914738588092508,Full,39852.53933955937,2972.061111958319,Germany
2032,0.007914738588092508,Full,40199.820215286716,3319.341987685664,Germany
2033,0.007914738588092508,Full,40547.10109101406,3666.6228634130093,Germany
2034,0.007914738588092508,Full,40894.3819667414,4013.903739140347,Germany
2024,0.0032895374876827127,Full,7368.254685782864,1425.1254287376196,Italy
2025,0.003907947906402261,Full,8820.170387527225,2877.041130481981,Italy
2026,0.004526358325121808,Full,10287.423471959199,4344.294214913954,Italy
2027,0.005144768743841356,Full,11762.491009946318,5819.3617529010735,Italy
2028,0.005763179162560904,Full,13265.910633177855,7322.781376132611,Italy
2029,0.006381589581280452,Full,14793.287426745315,8850.158169700071,Italy
2030,0.007,Full,16437.29040789637,10494.161150851125,Italy
2031,0.007,Full,16543.079135166652,10599.949878121408,Italy
2032,0.007,Full,16648.86786243693,10705.738605391687,Italy
2033,0.007,Full,16754.656589707214,10811.52733266197,Italy
2034,0.007,Full,16860.445316977497,10917.316059932253,Italy
2024,0.006689559097279975,Full,7611.166864088118,106.08392668901524,Netherlands
2025,0.006741299247733312,Full,7794.795821973603,289.7128845745001,Netherlands
2026,0.00679303939818665,Full,7988.529806098025,483.4468686989221,Netherlands
2027,0.006844779548639987,Full,8195.298463286485,690.2155258873818,Netherlands
2028,0.006896519699093325,Full,8382.050772681056,876.9678352819528,Netherlands
