year,indicator,oda_gni_ratio,name_short,donor_code,constant,current
2018,Excluding IDRC,0.00098365494354631,Latvia,83,51.48786448602597,28.181198000000006
2018,Excluding IDRC,0.001030279578214182,Bulgaria,72,101.15473290022308,54.142469999999996
2018,Excluding IDRC,0.0010620937393089292,Romania,77,394.7457845210083,210.435428
2018,Excluding IDRC,0.0011914572700777383,Lithuania,84,110.85343861035611,53.973009999999995
2018,Excluding IDRC,0.0011967511557025912,Cyprus,30,30.4511810773208,21.1825
2018,Excluding IDRC,0.0012042032252114615,Greece,40,309.0746084494406,222.433196
2018,Excluding IDRC,0.0012102471244598255,Czechia,68,466.18003913022477,237.55750100000003
2018,Excluding IDRC,0.0012796251645581418,Malta,45,21.242303782682416,14.421045999999997
2018,Excluding IDRC,0.0013064409686150812,Slovakia,69,201.15526765896985,116.03773500000001
2018,Excluding IDRC,0.0013396624132229382,Croatia,62,105.17410689381573,66.843497
2018,Excluding IDRC,0.001348713795952751,Poland,76,1261.8841332211582,643.770067
2018,Excluding IDRC,0.0015147166325079943,Slovenia,61,110.63270968104189,68.68213800000001
2018,Excluding IDRC,0.0015279662262086503,Estonia,82,80.5869196596994,39.03511099999999
2018,Excluding IDRC,0.0017331633160883823,Portugal,9,503.8393406783885,340.52139700000004
2018,Excluding IDRC,0.0018341878370077092,Spain,50,3130.6344217053456,2215.4861480000004
2018,Excluding IDRC,0.001947411682680245,Italy,6,4575.245725854138,3444.172824
2018,Excluding IDRC,0.0020641772816335775,Hungary,75,513.3286597053934,238.337017
2018,Excluding IDRC,0.0024419059442591217,Austria,1,1462.3146778974226,937.7577480000001
2018,Excluding IDRC,0.002953746353576103,Ireland,21,995.8588727270242,743.827724
2018,Excluding IDRC,0.0033818310267164434,Finland,18,1110.799314525003,785.480992
2018,Excluding IDRC,0.003750551905046026,EU27 countries,91827,75169.47861683747,
2018,Excluding IDRC,0.003795350139105366,EU27 countries,91827,,51206.91442
2018,Excluding IDRC,0.0038473433910459973,Belgium,2,2532.7752299109816,1751.445357
2018,Excluding IDRC,0.003992517905816746,France,4,13203.131397720728,9603.730323
2018,Excluding IDRC,0.005170620363559501,Germany,5,27435.39997365723,17882.368175999996
2018,Excluding IDRC,0.005564572479783054,Netherlands,7,6751.286081166822,4308.325621
2018,Excluding IDRC,0.0069984760678066605,Denmark,3,2761.205121161461,2137.627751
2018,Excluding IDRC,0.009781388610708416,Sweden,10,6305.010279676542,4640.060517
2018,Excluding IDRC,0.009838159614038873,Luxembourg,22,644.0264303790198,401.077928
2018,Excluding Ukraine,0.000991048621714878,Latvia,83,51.87487489256554,28.393023
2018,Excluding Ukraine,0.0010438333903523777,Romania,77,387.9590052493675,206.817457
2018,Excluding Ukraine,0.0010862274676727614,Bulgaria,72,106.647798990423,57.082601000000004
2018,Excluding Ukraine,0.0011531136687644046,Lithuania,84,107.28594176339804,52.236045
2018,Excluding Ukraine,0.0011780818376736309,Cyprus,30,29.976142652514596,20.852053
2018,Excluding Ukraine,0.0012245978315244003,Poland,76,1145.758705675621,584.526851
2018,Excluding Ukraine,0.0012872122285334377,Czechia,68,495.8265423142027,252.66486
2018,Excluding Ukraine,0.001289174388453027,Slovakia,69,198.49669858658766,114.50412200000001
2018,Excluding Ukraine,0.0013114952922451963,Greece,40,336.61252971880066,242.251543
2018,Excluding Ukraine,0.0013192847367637225,Croatia,62,103.57429794119082,65.826737
2018,Excluding Ukraine,0.001503091586103235,Estonia,82,79.27499889250221,38.399635999999994
2018,Excluding Ukraine,0.0015221911779435137,Slovenia,61,111.17863965726218,69.02105800000001
2018,Excluding Ukraine,0.001757227242296482,Portugal,9,510.8348457195326,345.24933100000004
2018,Excluding Ukraine,0.0019932822859947473,Spain,50,3402.1805241555785,2407.653788
2018,Excluding Ukraine,0.002031595436809897,Hungary,75,505.2260636333968,234.575005
2018,Excluding Ukraine,0.002460759790598589,Malta,45,40.849624136733,27.732128999999997
2018,Excluding Ukraine,0.0024617926669799357,Italy,6,5783.731543623684,4353.901888
2018,Excluding Ukraine,0.002519878545428406,Austria,1,1509.007909236552,967.70133
2018,Excluding Ukraine,0.003126453102025847,Ireland,21,1054.0871453122045,787.319633
2018,Excluding Ukraine,0.00355113416137073,Finland,18,1166.4087771017046,824.804185
2018,Excluding Ukraine,0.0041836523157781705,EU27 countries,91827,83849.78297942273,
2018,Excluding Ukraine,0.0042354206969700955,EU27 countries,91827,,57144.352224
2018,Excluding Ukraine,0.004248821513454786,France,4,14050.71938334371,10220.251222
2018,Excluding Ukraine,0.0042723381372406204,Belgium,2,2812.5569017287903,1944.9178390000002
2018,Excluding Ukraine,0.006044588657941597,Germany,5,32072.690672787456,20904.949939
2018,Excluding Ukraine,0.006170366791405548,Netherlands,7,7486.273489268016,4777.357009
2018,Excluding Ukraine,0.007113486677854449,Denmark,3,2806.5818406608228,2172.756809
2018,Excluding Ukraine,0.009799294144885897,Luxembourg,22,641.482215775317,399.493477
2018,Excluding Ukraine,0.010631034766815541,Sweden,10,6852.685866604797,5043.112654
2018,Excluding Ukraine and IDRC,0.0009567419550127217,Latvia,83,50.07914660622188,27.410155000000003
2018,Excluding Ukraine and IDRC,0.0010120602366902069,Bulgaria,72,99.3659246345384,53.185021000000006
2018,Excluding Ukraine and IDRC,0.0010418662333219295,Romania,77,387.2278768032423,206.427699
2018,Excluding Ukraine and IDRC,0.0011302945499340302,Lithuania,84,105.16284607886686,51.202338999999995
2018,Excluding Ukraine and IDRC,0.0011780818376736309,Cyprus,30,29.976142652514596,20.852053
2018,Excluding Ukraine and IDRC,0.001179340217832396,Czechia,68,454.27488137378714,231.490833
2018,Excluding Ukraine and IDRC,0.001183423701326775,Greece,40,303.74127012749955,218.594927
2018,Excluding Ukraine and IDRC,0.0012135033696010998,Poland,76,1135.3785008392426,579.231226
2018,Excluding Ukraine and IDRC,0.0012645884411203257,Malta,45,20.9926879920516,14.251585999999996
2018,Excluding Ukraine and IDRC,0.001281638146282849,Slovakia,69,197.33632865996785,113.83475500000002
2018,Excluding Ukraine and IDRC,0.0013192847367637225,Croatia,62,103.57429794119082,65.826737
2018,Excluding Ukraine and IDRC,0.0014138745435918116,Estonia,82,74.56957640748828,36.12039899999999
2018,Excluding Ukraine and IDRC,0.0014764095871509576,Slovenia,61,107.83481855291289,66.94517300000001
2018,Excluding Ukraine and IDRC,0.001716085691037473,Portugal,9,498.8747887137056,337.16608900000006
2018,Excluding Ukraine and IDRC,0.0017999979629176376,Spain,50,3072.2783501294007,2174.1887460000003
2018,Excluding Ukraine and IDRC,0.0019229641176433502,Italy,6,4517.808657751184,3400.935105
2018,Excluding Ukraine and IDRC,0.0020048108121237633,Hungary,75,498.5651456913274,231.48236
2018,Excluding Ukraine and IDRC,0.0023835919700399876,Austria,1,1427.3938486870888,915.363609
2018,Excluding Ukraine and IDRC,0.002936788589847548,Ireland,21,990.1415437998994,739.557332
2018,Excluding Ukraine and IDRC,0.0033433447506853566,Finland,18,1098.1580770722082,776.541977
2018,Excluding Ukraine and IDRC,0.003701656608516453,EU27 countries,91827,74189.50712464223,
2018,Excluding Ukraine and IDRC,0.0037480428116153834,EU27 countries,91827,,50568.64333
2018,Excluding Ukraine and IDRC,0.0038172658089381532,Belgium,2,2512.974617593491,1737.752989
2018,Excluding Ukraine and IDRC,0.003966441251372257,France,4,13116.896719964632,9541.004703999999
2018,Excluding Ukraine and IDRC,0.005096090845565837,Germany,5,27039.945078068566,17624.611042999997
2018,Excluding Ukraine and IDRC,0.005541984874840702,Netherlands,7,6723.881391335172,4290.837349
2018,Excluding Ukraine and IDRC,0.006927156174311035,Denmark,3,2733.0663016166327,2115.843668
2018,Excluding Ukraine and IDRC,0.009693760869072865,Sweden,10,6248.5260897740845,4598.491978999999
2018,Excluding Ukraine and IDRC,0.009799294144885897,Luxembourg,22,641.482215775317,399.493477
2018,Using latest official data,0.001017961610248466,Latvia,83,53.283592772369616,29.164066000000002
2018,Using latest official data,0.0010640608963393774,Romania,77,395.47691296713356,210.825186
2018,Using latest official data,0.0011044468091967368,Bulgaria,72,108.43660725610769,58.04005
2018,Using latest official data,0.0011967511557025912,Cyprus,30,30.4511810773208,21.1825
2018,Using latest official data,0.0012142763889081126,Lithuania,84,112.97653429488726,55.00671599999999
2018,Using latest official data,0.0013139772107852593,Slovakia,69,202.31563758558963,116.707102
