Year,ODA,Member State,ODA/GNI ratio,Missing to target
2027,3926.0,Belgium,0.59,747.0
2028,4231.0,Belgium,0.63,505.0
2029,4539.0,Belgium,0.66,256.0
2030,4913.0,Belgium,0.7000000000000001,0.0
2031,4973.0,Belgium,0.7000000000000001,0.0
2032,5032.0,Belgium,0.7000000000000001,0.0
2033,5092.0,Belgium,0.7000000000000001,0.0
2034,5151.0,Belgium,0.7000000000000001,0.0
2014,94.0,Bulgaria,0.09,249.0
2015,98.0,Bulgaria,0.09,279.0
2016,154.0,Bulgaria,0.13,223.0
2017,126.0,Bulgaria,0.11,246.0
2018,119.0,Bulgaria,0.11,235.0
2019,111.0,Bulgaria,0.1,273.0
2020,138.0,Bulgaria,0.13,216.0
2021,116.0,Bulgaria,0.12,201.0
2022,284.0,Bulgaria,0.27,63.0
2023,177.0,Bulgaria,0.19,136.0
2024,202.0,Bulgaria,0.21,119.0
2025,228.0,Bulgaria,0.23,103.0
2026,256.0,Bulgaria,0.25,84.0
2027,284.0,Bulgaria,0.27,66.0
2028,314.0,Bulgaria,0.29,45.0
2029,345.0,Bulgaria,0.31,23.0
2030,387.0,Bulgaria,0.33,0.0
2031,396.0,Bulgaria,0.33,0.0
2032,406.0,Bulgaria,0.33,0.0
2033,415.0,Bulgaria,0.33,0.0
2034,424.0,Bulgaria,0.33,0.0
2014,108.0,Croatia,0.13,174.0
2015,99.0,Croatia,0.09,251.0
2016,76.0,Croatia,0.07,262.0
2017,92.0,Croatia,0.1,218.0
2018,119.0,Croatia,0.13,174.0
2019,111.0,Croatia,0.12,195.0
2020,122.0,Croatia,0.13,186.0
2021,110.0,Croatia,0.13,175.0
2022,172.0,Croatia,0.19,119.0
2023,153.0,Croatia,0.2,97.0
2024,172.0,Croatia,0.22,85.0
2025,191.0,Croatia,0.24,73.0
2026,212.0,Croatia,0.26,59.0
2027,233.0,Croatia,0.28,46.0
2028,254.0,Croatia,0.29,32.0
2029,277.0,Croatia,0.31,16.0
2030,308.0,Croatia,0.33,0.0
2031,315.0,Croatia,0.33,0.0
2032,322.0,Croatia,0.33,0.0
2033,330.0,Croatia,0.33,0.0
2034,337.0,Croatia,0.33,0.0
2014,27.0,Cyprus,0.09,70.0
2015,35.0,Cyprus,0.09,94.0
2016,,Cyprus,0.1,
2017,,Cyprus,0.11,
2018,35.0,Cyprus,0.12,62.0
2019,28.0,Cyprus,0.09,71.0
2020,21.0,Cyprus,0.06,100.0
2021,23.0,Cyprus,0.07,81.0
2022,16.0,Cyprus,0.05,86.0
2023,19.0,Cyprus,0.07,74.0
2024,30.0,Cyprus,0.1,65.0
2025,42.0,Cyprus,0.14,56.0
2026,55.0,Cyprus,0.18,46.0
2027,68.0,Cyprus,0.22,36.0
2028,83.0,Cyprus,0.25,24.0
2029,98.0,Cyprus,0.29,13.0
2030,117.0,Cyprus,0.33,0.0
2031,120.0,Cyprus,0.33,0.0
2032,123.0,Cyprus,0.33,0.0
2033,126.0,Cyprus,0.33,0.0
2034,129.0,Cyprus,0.33,0.0
2014,415.0,Czechia,0.11,805.0
2015,508.0,Czechia,0.12,917.0
2016,625.0,Czechia,0.14,825.0
2017,620.0,Czechia,0.15,742.0
2018,495.0,Czechia,0.13,744.0
2019,502.0,Czechia,0.13,760.0
2020,484.0,Czechia,0.13,780.0
2021,467.0,Czechia,0.13,676.0
2022,1291.0,Czechia,0.38,0.0
2023,742.0,Czechia,0.24,269.0
2024,786.0,Czechia,0.25,231.0
2025,841.0,Czechia,0.27,197.0
2026,899.0,Czechia,0.28,160.0
2027,959.0,Czechia,0.29,124.0
2028,1023.0,Czechia,0.3,84.0
2029,1090.0,Czechia,0.32,43.0
2030,1180.0,Czechia,0.33,0.0
2031,1205.0,Czechia,0.33,0.0
2032,1229.0,Czechia,0.33,0.0
2033,1253.0,Czechia,0.33,0.0
2034,1278.0,Czechia,0.33,0.0
2014,3182.0,Denmark,0.86,0.0
2015,3778.0,Denmark,0.85,0.0
2016,3367.0,Denmark,0.75,0.0
2017,3179.0,Denmark,0.74,0.0
2018,2972.0,Denmark,0.72,0.0
2019,3154.0,Denmark,0.72,0.0
2020,3049.0,Denmark,0.72,0.0
2021,2745.0,Denmark,0.71,0.0
2022,2748.0,Denmark,0.67,123.0
2023,2985.0,Denmark,0.74,0.0
2024,3049.0,Denmark,0.74,0.0
2025,3094.0,Denmark,0.74,0.0
2026,3139.0,Denmark,0.74,0.0
2027,3183.0,Denmark,0.74,0.0
2028,3228.0,Denmark,0.74,0.0
2029,3273.0,Denmark,0.74,0.0
2030,3362.0,Denmark,0.74,0.0
2031,3407.0,Denmark,0.74,0.0
2032,3451.0,Denmark,0.74,0.0
2033,3496.0,Denmark,0.74,0.0
2034,3540.0,Denmark,0.74,0.0
2014,74.0,Estonia,0.14,94.0
2015,92.0,Estonia,0.15,106.0
2016,111.0,Estonia,0.19,81.0
2017,93.0,Estonia,0.16,92.0
2018,84.0,Estonia,0.16,87.0
2019,83.0,Estonia,0.16,91.0
2020,85.0,Estonia,0.17,84.0
2021,79.0,Estonia,0.16,80.0
2022,249.0,Estonia,0.54,0.0
2023,113.0,Estonia,0.28,22.0
2024,115.0,Estonia,0.28,19.0
2025,121.0,Estonia,0.29,16.0
2026,127.0,Estonia,0.3,13.0
2027,133.0,Estonia,0.31,10.0
2028,139.0,Estonia,0.31,7.0
2029,145.0,Estonia,0.32,4.0
2030,154.0,Estonia,0.33,0.0
2031,157.0,Estonia,0.33,0.0
2032,160.0,Estonia,0.33,0.0
2033,163.0,Estonia,0.33,0.0
2034,166.0,Estonia,0.33,0.0
2014,1733.0,Finland,0.59,309.0
2015,1884.0,Finland,0.55,512.0
2016,1514.0,Finland,0.44,895.0
2017,1419.0,Finland,0.42,921.0
2018,1118.0,Finland,0.36,1062.0
2019,1371.0,Finland,0.42,930.0
2020,1480.0,Finland,0.47,735.0
2021,1441.0,Finland,0.47,689.0
2022,1813.0,Finland,0.57,400.0
2023,1540.0,Finland,0.52,517.0
2024,1620.0,Finland,0.55,445.0
2025,1726.0,Finland,0.57,378.0
2026,1836.0,Finland,0.6,308.0
2027,1946.0,Finland,0.62,235.0
2028,2056.0,Finland,0.65,159.0
2029,2168.0,Finland,0.67,81.0
2030,2321.0,Finland,0.7000000000000001,0.0
2031,2356.0,Finland,0.7000000000000001,0.0
2032,2390.0,Finland,0.7000000000000001,0.0
2033,2425.0,Finland,0.7000000000000001,0.0
2034,2460.0,Finland,0.7000000000000001,0.0
2014,10673.0,France,0.37,9623.0
2015,12581.0,France,0.37,11373.0
2016,13185.0,France,0.38,10834.0
2017,14441.0,France,0.43,9178.0
2018,13591.0,France,0.43,8663.0
2019,14564.0,France,0.44,8551.0
2020,16601.0,France,0.53,5331.0
2021,15483.0,France,0.51,5782.0
2022,18584.0,France,0.56,4664.0
2023,15167.0,France,0.5,6120.0
2024,16160.0,France,0.53,5285.0
2025,17287.0,France,0.56,4467.0
2026,18465.0,France,0.59,3630.0
2027,19657.0,France,0.61,2762.0
2028,20875.0,France,0.64,1868.0
2029,22102.0,France,0.67,946.0
2030,23696.0,France,0.7000000000000001,0.0
2031,24013.0,France,0.7000000000000001,0.0
2032,24331.0,France,0.7000000000000001,0.0
2033,24649.0,France,0.7000000000000001,0.0
2034,24967.0,France,0.7000000000000001,0.0
2014,19636.0,Germany,0.42,13189.0
2015,28927.0,Germany,0.52,9777.0
2016,38221.0,Germany,0.7,38.0
2017,35106.0,Germany,0.67,1715.0
2018,30468.0,Germany,0.61,4386.0
2019,31148.0,Germany,0.61,4508.0
2020,35678.0,Germany,0.73,0.0
2021,35099.0,Germany,0.76,0.0
2022,42082.0,Germany,0.85,0.0
2023,36320.0,Germany,0.79,0.0
2024,36375.0,Germany,0.79,0.0
2025,36857.0,Germany,0.79,0.0
2026,37392.0,Germany,0.79,0.0
2027,37809.0,Germany,0.79,0.0
2028,38123.0,Germany,0.79,0.0
2029,38373.0,Germany,0.79,0.0
2030,39122.0,Germany,0.79,0.0
2031,39449.0,Germany,0.79,0.0
2032,39776.0,Germany,0.79,0.0
2033,40103.0,Germany,0.79,0.0
2034,40430.0,Germany,0.79,0.0
2014,236.0,Greece,0.11,1330.0
2015,329.0,Greece,0.12,1558.0
2016,519.0,Greece,0.19,1402.0
2017,418.0,Greece,0.16,1453.0
2018,348.0,Greece,0.13,1483.0
2019,479.0,Greece,0.18,1437.0
2020,458.0,Greece,0.17,1396.0
2021,397.0,Greece,0.16,1371.0
2022,433.0,Greece,0.17,1401.0
2023,329.0,Greece,0.14,1365.0
2024,535.0,Greece,0.22,1194.0
2025,748.0,Greece,0.3,1014.0
2026,967.0,Greece,0.38,825.0
2027,1189.0,Greece,0.46,627.0
2028,1416.0,Greece,0.54,424.0
2029,1649.0,Greece,0.62,214.0
2030,1913.0,Greece,0.7000000000000001,0.0
2031,1936.0,Greece,0.7000000000000001,0.0
2032,1960.0,Greece,0.7000000000000001,0.0
2033,1983.0,Greece,0.7000000000000001,0.0
2034,2007.0,Greece,0.7000000000000001,0.0
2014,261.0,Hungary,0.11,529.0
2015,371.0,Hungary,0.13,542.0
2016,459.0,Hungary,0.17,454.0
2017,289.0,Hungary,0.11,572.0
2018,463.0,Hungary,0.21,268.0
2019,510.0,Hungary,0.21,282.0
2020,710.0,Hungary,0.27,155.0
2021,590.0,Hungary,0.28,104.0
2022,552.0,Hungary,0.26,152.0
2023,318.0,Hungary,0.15,388.0
2024,382.0,Hungary,0.17,340.0
2025,453.0,Hungary,0.2,293.0
2026,526.0,Hungary,0.23,241.0
2027,604.0,Hungary,0.25,186.0
2028,687.0,Hungary,0.28,128.0
2029,775.0,Hungary,0.3,66.0
2030,889.0,Hungary,0.33,0.0
2031,914.0,Hungary,0.33,0.0
2032,939.0,Hungary,0.33,0.0
2033,964.0,Hungary,0.33,0.0
2034,988.0,Hungary,0.33,0.0
2014,1780.0,Ireland,0.38,1542.0
2015,1506.0,Ireland,0.32,1814.0
2016,1659.0,Ireland,0.32,1984.0
2017,1494.0,Ireland,0.32,1802.0
2018,1370.0,Ireland,0.31,1682.0
2019,1416.0,Ireland,0.32,1724.0
2020,1320.0,Ireland,0.31,1704.0
2021,1232.0,Ireland,0.3,1625.0
2022,2611.0,Ireland,0.63,288.0
2023,2799.0,Ireland,0.67,132.0
2024,2860.0,Ireland,0.67,114.0
2025,2949.0,Ireland,0.68,98.0
2026,3043.0,Ireland,0.68,81.0
2027,3140.0,Ireland,0.69,62.0
2028,3241.0,Ireland,0.69,42.0
2029,3344.0,Ireland,0.7,21.0
2030,3525.0,Ireland,0.7000000000000001,0.0
2031,3605.0,Ireland,0.7000000000000001,0.0
2032,3686.0,Ireland,0.7000000000000001,0.0
2033,3766.0,Ireland,0.7000000000000001,0.0
2034,3847.0,Ireland,0.7000000000000001,0.0
2014,3867.0,Italy,0.19,10593.0
2015,5388.0,Italy,0.22,11682.0
2016,6648.0,Italy,0.27,10293.0
2017,7134.0,Italy,0.3,9455.0
2018,5596.0,Italy,0.25,10160.0
2019,5170.0,Italy,0.22,11387.0
2020,5108.0,Italy,0.22,10897.0
2021,6121.0,Italy,0.29,8841.0
2022,7610.0,Italy,0.33,8671.0
2023,5894.0,Italy,0.27,9552.0
2024,7310.0,Italy,0.33,8246.0
2025,8746.0,Italy,0.39,6921.0
2026,10148.0,Italy,0.45,5545.0
2027,11571.0,Italy,0.51,4173.0
2028,13059.0,Italy,0.58,2803.0
2029,14581.0,Italy,0.64,1413.0
2030,16160.0,Italy,0.7000000000000001,0.0
2031,16260.0,Italy,0.7000000000000001,0.0
2032,16360.0,Italy,0.7000000000000001,0.0
2033,16460.0,Italy,0.7000000000000001,0.0
2034,16561.0,Italy,0.7000000000000001,0.0
2014,42.0,Latvia,0.08,129.0
2015,52.0,Latvia,0.09,149.0
2016,66.0,Latvia,0.11,134.0
2017,61.0,Latvia,0.11,130.0
2018,54.0,Latvia,0.1,120.0
2019,54.0,Latvia,0.1,122.0
2020,62.0,Latvia,0.12,104.0
2021,58.0,Latvia,0.12,100.0
2022,173.0,Latvia,0.36,0.0
2023,146.0,Latvia,0.33,0.0
2024,148.0,Latvia,0.33,0.0
2025,152.0,Latvia,0.33,0.0
2026,156.0,Latvia,0.33,0.0
2027,159.0,Latvia,0.33,0.0
2028,163.0,Latvia,0.33,0.0
2029,167.0,Latvia,0.33,0.0
2030,175.0,Latvia,0.33,0.0
2031,179.0,Latvia,0.33,0.0
2032,183.0,Latvia,0.33,0.0
2033,187.0,Latvia,0.33,0.0
2034,191.0,Latvia,0.33,0.0
2014,92.0,Lithuania,0.1,220.0
2015,137.0,Lithuania,0.12,235.0
2016,155.0,Lithuania,0.14,212.0
2017,136.0,Lithuania,0.13,210.0
2018,122.0,Lithuania,0.12,210.0
2019,128.0,Lithuania,0.13,202.0
2020,127.0,Lithuania,0.13,187.0
2021,117.0,Lithuania,0.14,164.0
2022,299.0,Lithuania,0.36,0.0
2023,192.0,Lithuania,0.28,33.0
2024,201.0,Lithuania,0.29,28.0
2025,211.0,Lithuania,0.3,24.0
2026,220.0,Lithuania,0.3,20.0
2027,230.0,Lithuania,0.31,16.0
2028,241.0,Lithuania,0.32,10.0
2029,251.0,Lithuania,0.32,6.0
2030,268.0,Lithuania,0.33,0.0
2031,273.0,Lithuania,0.33,0.0
2032,279.0,Lithuania,0.33,0.0
2033,284.0,Lithuania,0.33,0.0
2034,290.0,Lithuania,0.33,0.0
2014,577.0,Luxembourg,1.06,0.0
2015,662.0,Luxembourg,0.95,0.0
2016,700.0,Luxembourg,1.0,0.0
2017,689.0,Luxembourg,1.0,0.0
2018,668.0,Luxembourg,0.98,0.0
2019,709.0,Luxembourg,1.03,0.0
2020,606.0,Luxembourg,1.03,0.0
2021,572.0,Luxembourg,0.99,0.0
2022,624.0,Luxembourg,1.0,0.0
2023,584.0,Luxembourg,0.99,0.0
2024,591.0,Luxembourg,0.99,0.0
2025,608.0,Luxembourg,0.99,0.0
2026,624.0,Luxembourg,0.99,0.0
2027,638.0,Luxembourg,0.99,0.0
2028,653.0,Luxembourg,0.99,0.0
2029,668.0,Luxembourg,0.99,0.0
2030,698.0,Luxembourg,0.99,0.0
2031,713.0,Luxembourg,0.99,0.0
2032,728.0,Luxembourg,0.99,0.0
2033,742.0,Luxembourg,0.99,0.0
2034,757.0,Luxembourg,0.99,0.0
2014,40.0,Malta,0.2,26.0
2015,38.0,Malta,0.17,34.0
2016,45.0,Malta,0.2,30.0
2017,47.0,Malta,0.21,26.0
2018,52.0,Malta,0.25,17.0
2019,63.0,Malta,0.3,5.0
2020,83.0,Malta,0.4,0.0
2021,65.0,Malta,0.32,2.0
2022,76.0,Malta,0.36,0.0
2023,71.0,Malta,0.35,0.0
2024,75.0,Malta,0.35,0.0
2025,78.0,Malta,0.35,0.0
2026,80.0,Malta,0.35,0.0
2027,83.0,Malta,0.35,0.0
2028,86.0,Malta,0.35,0.0
2029,89.0,Malta,0.35,0.0
2030,95.0,Malta,0.35,0.0
2031,98.0,Malta,0.35,0.0
2032,101.0,Malta,0.35,0.0
2033,104.0,Malta,0.35,0.0
2034,107.0,Malta,0.35,0.0
2014,7130.0,Netherlands,0.64,729.0
2015,10130.0,Netherlands,0.75,0.0
2016,8570.0,Netherlands,0.65,677.0
2017,7792.0,Netherlands,0.6,1243.0
2018,7562.0,Netherlands,0.62,985.0
2019,7271.0,Netherlands,0.59,1403.0
2020,7106.0,Netherlands,0.59,1291.0
2021,5791.0,Netherlands,0.52,1950.0
2022,7698.0,Netherlands,0.67,368.0
2023,7176.0,Netherlands,0.66,392.0
2024,7278.0,Netherlands,0.67,338.0
2025,7429.0,Netherlands,0.67,286.0
2026,7629.0,Netherlands,0.68,233.0
2027,7835.0,Netherlands,0.68,178.0
2028,8033.0,Netherlands,0.69,121.0
2029,8226.0,Netherlands,0.69,61.0
2030,8575.0,Netherlands,0.7000000000000001,0.0
2031,8717.0,Netherlands,0.7000000000000001,0.0
2032,8859.0,Netherlands,0.7000000000000001,0.0
2033,9000.0,Netherlands,0.7000000000000001,0.0
2034,9142.0,Netherlands,0.7000000000000001,0.0
2014,743.0,Poland,0.09,2122.0
2015,968.0,Poland,0.1,2367.0
2016,1544.0,Poland,0.15,1920.0
2017,1335.0,Poland,0.13,1936.0
2018,1266.0,Poland,0.14,1807.0
2019,1308.0,Poland,0.14,1806.0
2020,1352.0,Poland,0.14,1755.0
2021,1325.0,Poland,0.15,1554.0
2022,4882.0,Poland,0.53,0.0
2023,2635.0,Poland,0.34,0.0
2024,2716.0,Poland,0.34,0.0
2025,2810.0,Poland,0.34,0.0
2026,2903.0,Poland,0.34,0.0
2027,2990.0,Poland,0.34,0.0
2028,3078.0,Poland,0.34,0.0
2029,3171.0,Poland,0.34,0.0
2030,3350.0,Poland,0.34,0.0
2031,3440.0,Poland,0.34,0.0
2032,3529.0,Poland,0.34,0.0
2033,3618.0,Poland,0.34,0.0
2034,3708.0,Poland,0.34,0.0
2014,557.0,Portugal,0.19,1499.0
2015,539.0,Portugal,0.16,1846.0
2016,572.0,Portugal,0.17,1765.0
2017,572.0,Portugal,0.18,1664.0
2018,529.0,Portugal,0.18,1559.0
2019,553.0,Portugal,0.17,1698.0
2020,562.0,Portugal,0.18,1574.0
2021,528.0,Portugal,0.18,1491.0
2022,645.0,Portugal,0.21,1498.0
2023,525.0,Portugal,0.19,1443.0
2024,743.0,Portugal,0.26,1259.0
2025,973.0,Portugal,0.33,1071.0
2026,1211.0,Portugal,0.41,873.0
2027,1457.0,Portugal,0.48,668.0
2028,1711.0,Portugal,0.55,454.0
2029,1975.0,Portugal,0.63,231.0
2030,2287.0,Portugal,0.7000000000000001,0.0
2031,2328.0,Portugal,0.7000000000000001,0.0
2032,2368.0,Portugal,0.7000000000000001,0.0
2033,2409.0,Portugal,0.7000000000000001,0.0
2034,2449.0,Portugal,0.7000000000000001,0.0
2014,400.0,Romania,0.11,822.0
2015,368.0,Romania,0.09,967.0
2016,456.0,Romania,0.11,918.0
2017,426.0,Romania,0.11,898.0
2018,400.0,Romania,0.11,840.0
2019,403.0,Romania,0.1,888.0
2020,474.0,Romania,0.13,766.0
2021,532.0,Romania,0.15,642.0
2022,514.0,Romania,0.14,685.0
2023,569.0,Romania,0.16,593.0
2024,672.0,Romania,0.19,522.0
2025,786.0,Romania,0.21,451.0
2026,910.0,Romania,0.23,375.0
2027,1042.0,Romania,0.26,292.0
2028,1181.0,Romania,0.28,201.0
2029,1326.0,Romania,0.31,105.0
2030,1528.0,Romania,0.33,0.0
2031,1576.0,Romania,0.33,0.0
2032,1625.0,Romania,0.33,0.0
2033,1674.0,Romania,0.33,0.0
2034,1722.0,Romania,0.33,0.0
2014,119.0,Slovakia,0.09,336.0
2015,166.0,Slovakia,0.1,374.0
2016,206.0,Slovakia,0.12,356.0
2017,211.0,Slovakia,0.13,317.0
2018,206.0,Slovakia,0.13,311.0
2019,179.0,Slovakia,0.11,350.0
2020,207.0,Slovakia,0.14,290.0
2021,193.0,Slovakia,0.14,271.0
2022,229.0,Slovakia,0.15,263.0
2023,183.0,Slovakia,0.14,263.0
2024,225.0,Slovakia,0.16,230.0
2025,270.0,Slovakia,0.19,197.0
2026,318.0,Slovakia,0.22,162.0
2027,368.0,Slovakia,0.25,125.0
2028,421.0,Slovakia,0.27,85.0
2029,476.0,Slovakia,0.3,44.0
2030,547.0,Slovakia,0.33,0.0
2031,560.0,Slovakia,0.33,0.0
2032,573.0,Slovakia,0.33,0.0
2033,586.0,Slovakia,0.33,0.0
2034,600.0,Slovakia,0.33,0.0
2014,91.0,Slovenia,0.12,149.0
2015,128.0,Slovenia,0.15,155.0
2016,158.0,Slovenia,0.19,120.0
2017,131.0,Slovenia,0.16,141.0
2018,121.0,Slovenia,0.16,135.0
2019,130.0,Slovenia,0.17,130.0
2020,133.0,Slovenia,0.17,118.0
2021,138.0,Slovenia,0.19,101.0
2022,219.0,Slovenia,0.29,32.0
2023,166.0,Slovenia,0.24,61.0
2024,178.0,Slovenia,0.25,53.0
2025,192.0,Slovenia,0.27,45.0
2026,206.0,Slovenia,0.28,37.0
2027,221.0,Slovenia,0.29,29.0
2028,237.0,Slovenia,0.3,20.0
2029,253.0,Slovenia,0.32,10.0
2030,277.0,Slovenia,0.33,0.0
2031,284.0,Slovenia,0.33,0.0
2032,290.0,Slovenia,0.33,0.0
2033,297.0,Slovenia,0.33,0.0
2034,304.0,Slovenia,0.33,0.0
2014,2117.0,Spain,0.13,8907.0
2015,2150.0,Spain,0.12,10739.0
2016,6306.0,Spain,0.34,6575.0
2017,3477.0,Spain,0.19,9009.0
2018,3418.0,Spain,0.2,8383.0
2019,3690.0,Spain,0.21,8674.0
2020,3971.0,Spain,0.23,7979.0
2021,4012.0,Spain,0.26,6917.0
2022,5185.0,Spain,0.3,6806.0
2023,3846.0,Spain,0.24,7190.0
2024,4965.0,Spain,0.31,6280.0
2025,6137.0,Spain,0.37,5342.0
2026,7337.0,Spain,0.44,4351.0
2027,8562.0,Spain,0.5,3316.0
2028,9825.0,Spain,0.57,2248.0
2029,11126.0,Spain,0.63,1142.0
2030,12659.0,Spain,0.7000000000000001,0.0
2031,12852.0,Spain,0.7000000000000001,0.0
2032,13046.0,Spain,0.7000000000000001,0.0
2033,13239.0,Spain,0.7000000000000001,0.0
2034,13432.0,Spain,0.7000000000000001,0.0
2014,5433.0,Sweden,1.09,0.0
2015,8563.0,Sweden,1.4,0.0
2016,5786.0,Sweden,0.94,0.0
2017,6135.0,Sweden,1.02,0.0
2018,6402.0,Sweden,1.07,0.0
2019,6131.0,Sweden,0.96,0.0
2020,6967.0,Sweden,1.14,0.0
2021,5053.0,Sweden,0.91,0.0
2022,5602.0,Sweden,0.89,0.0
2023,5692.0,Sweden,0.91,0.0
2024,5704.0,Sweden,0.91,0.0
2025,5831.0,Sweden,0.91,0.0
2026,5957.0,Sweden,0.91,0.0
2027,6088.0,Sweden,0.91,0.0
2028,6217.0,Sweden,0.91,0.0
2029,6349.0,Sweden,0.91,0.0
2030,6608.0,Sweden,0.91,0.0
2031,6739.0,Sweden,0.91,0.0
2032,6870.0,Sweden,0.91,0.0
2033,7000.0,Sweden,0.91,0.0
2034,7131.0,Sweden,0.91,0.0
