Year,ODA,Member State,ODA/GNI ratio,Missing to target
2014,63855.0,EU27 Countries,0.35,54424.0
2015,84803.0,EU27 Countries,0.4,54257.0
2016,97272.0,EU27 Countries,0.46,41212.0
2017,90368.0,EU27 Countries,0.44,43900.0
2018,81897.0,EU27 Countries,0.42,45191.0
2019,83728.0,EU27 Countries,0.41,48069.0
2020,91560.0,EU27 Countries,0.47,34663.0
2021,86657.0,EU27 Countries,0.47,32247.0
2022,109868.0,EU27 Countries,0.56,18165.0
2023,93084.0,EU27 Countries,0.51,26042.0
2024,98351.0,EU27 Countries,0.54,21787.0
2025,104573.0,EU27 Countries,0.56,17426.0
2026,110990.0,EU27 Countries,0.58,12886.0
2027,117389.0,EU27 Countries,0.61,8230.0
2028,123863.0,EU27 Countries,0.63,3479.0
2029,130402.0,EU27 Countries,0.66,0.0
2030,138998.0,EU27 Countries,0.68,0.0
2031,140785.0,EU27 Countries,0.68,0.0
2032,142571.0,EU27 Countries,0.68,0.0
2033,144357.0,EU27 Countries,0.68,0.0
2034,146144.0,EU27 Countries,0.68,0.0
2014,1521.0,Austria,0.28,2223.0
2015,2210.0,Austria,0.35,2164.0
2016,2597.0,Austria,0.42,1693.0
2017,1831.0,Austria,0.3,2441.0
2018,1470.0,Austria,0.26,2521.0
2019,1644.0,Austria,0.28,2527.0
2020,1665.0,Austria,0.3,2267.0
2021,1641.0,Austria,0.31,2086.0
2022,2247.0,Austria,0.39,1746.0
2023,1953.0,Austria,0.38,1631.0
2024,2196.0,Austria,0.43,1403.0
2025,2468.0,Austria,0.47,1188.0
2026,2742.0,Austria,0.52,964.0
2027,3013.0,Austria,0.56,730.0
2028,3285.0,Austria,0.61,491.0
2029,3563.0,Austria,0.65,248.0
2030,3886.0,Austria,0.7000000000000001,0.0
2031,3921.0,Austria,0.7000000000000001,0.0
2032,3956.0,Austria,0.7000000000000001,0.0
2033,3990.0,Austria,0.7000000000000001,0.0
2034,4025.0,Austria,0.7000000000000001,0.0
2014,2907.0,Belgium,0.46,1489.0
2015,3094.0,Belgium,0.42,2112.0
2016,3574.0,Belgium,0.5,1444.0
2017,3113.0,Belgium,0.45,1780.0
2018,2849.0,Belgium,0.43,1787.0
2019,2816.0,Belgium,0.41,2002.0
2020,2991.0,Belgium,0.48,1386.0
2021,2727.0,Belgium,0.43,1687.0
2022,3029.0,Belgium,0.45,1648.0
2023,2792.0,Belgium,0.44,1663.0
2024,3065.0,Belgium,0.48,1441.0
2025,3344.0,Belgium,0.51,1216.0
2026,3632.0,Belgium,0.55,984.0
