year,oda_gni_ratio,indicator,name_short
2018,0.00257819251964754,Using latest official data,Austria
2019,0.0027581939360101166,Using latest official data,Austria
2020,0.0029641077936609457,Using latest official data,Austria
2021,0.003082662270345307,Using latest official data,Austria
2022,0.003939452307653852,Using latest official data,Austria
2023,0.003815292029408705,Using latest official data,Austria
2024,0.004270250310921747,Using latest official data,Austria
2025,0.004725208592434789,Using latest official data,Austria
2026,0.005180166873947832,Using latest official data,Austria
2027,0.005635125155460874,Using latest official data,Austria
2028,0.006090083436973916,Using latest official data,Austria
2029,0.006545041718486958,Using latest official data,Austria
2030,0.007,Using latest official data,Austria
2031,0.007,Using latest official data,Austria
2032,0.007,Using latest official data,Austria
2033,0.007,Using latest official data,Austria
2034,0.007,Using latest official data,Austria
2018,0.004302415719348464,Using latest official data,Belgium
2019,0.004091814001098894,Using latest official data,Belgium
2020,0.0047831055579952726,Using latest official data,Belgium
2021,0.004325008485864056,Using latest official data,Belgium
2022,0.004532850922180318,Using latest official data,Belgium
2023,0.004387375468932449,Using latest official data,Belgium
2024,0.004760607544799242,Using latest official data,Belgium
2025,0.005133839620666035,Using latest official data,Belgium
2026,0.0055070716965328285,Using latest official data,Belgium
2027,0.005880303772399622,Using latest official data,Belgium
2028,0.006253535848266415,Using latest official data,Belgium
2029,0.006626767924133207,Using latest official data,Belgium
2030,0.007,Using latest official data,Belgium
2031,0.007,Using latest official data,Belgium
2032,0.007,Using latest official data,Belgium
2033,0.007,Using latest official data,Belgium
2034,0.007,Using latest official data,Belgium
2018,0.007184806571350075,Using latest official data,Denmark
2019,0.0071687186839308375,Using latest official data,Denmark
2020,0.007196068397849326,Using latest official data,Denmark
2021,0.007107752036543724,Using latest official data,Denmark
2022,0.006702084945820434,Using latest official data,Denmark
2023,0.007419377688323991,Using latest official data,Denmark
2024,0.007419377688323991,Using latest official data,Denmark
2025,0.007419377688323991,Using latest official data,Denmark
2026,0.007419377688323991,Using latest official data,Denmark
2027,0.007419377688323991,Using latest official data,Denmark
2028,0.007419377688323991,Using latest official data,Denmark
2029,0.007419377688323991,Using latest official data,Denmark
2030,0.007419377688323991,Using latest official data,Denmark
2031,0.007419377688323991,Using latest official data,Denmark
2032,0.007419377688323991,Using latest official data,Denmark
2033,0.007419377688323991,Using latest official data,Denmark
2034,0.007419377688323991,Using latest official data,Denmark
2018,0.004274898167899276,Using latest official data,France
2019,0.004410622075757718,Using latest official data,France
2020,0.0052985988950282874,Using latest official data,France
2021,0.005096459783959896,Using latest official data,France
2022,0.005595549704605041,Using latest official data,France
2023,0.004987551280294829,Using latest official data,France
2024,0.005275043954538425,Using latest official data,France
2025,0.00556253662878202,Using latest official data,France
2026,0.005850029303025616,Using latest official data,France
2027,0.0061375219772692126,Using latest official data,France
2028,0.006425014651512809,Using latest official data,France
2029,0.006712507325756404,Using latest official data,France
2030,0.007,Using latest official data,France
2031,0.007,Using latest official data,France
2032,0.007,Using latest official data,France
2033,0.007,Using latest official data,France
2034,0.007,Using latest official data,France
2018,0.00611911817593526,Using latest official data,Germany
2019,0.006115100893124869,Using latest official data,Germany
2020,0.007341879910940078,Using latest official data,Germany
2021,0.007649948334944067,Using latest official data,Germany
2022,0.008470815801053862,Using latest official data,Germany
2023,0.007914738588092508,Using latest official data,Germany
