year,Member States,Non-imputable EU Institutions ODA,Imputable EU Institutions ODA
2014,49132.58174985643,4287.664099286609,15994.418250143572
2015,67641.83729786404,801.9489177780051,18795.16270213596
2016,77246.24950873788,2148.1478234094684,22003.75049126213
2017,71511.14968042131,1602.1545605052233,20635.850319578683
2018,63822.030548141716,757.3108617134967,19740.969451858284
2019,64308.25483338213,-2102.2673310727732,21106.745166617868
2020,71285.26460122346,1417.7987220251198,22104.73539877653
2021,70621.89023314041,3497.8315082928384,17579.109766859583
2022,90761.92840151148,4538.280866726847,20795.071598488514
2023,,,
